inchikey,target_domain_macro,n_standard_types,standard_types,n_records,n_targets,n_assays,z_potency_equal_mean,z_potency_equal_median,z_potency_record_weighted,delta_equal_mean_minus_record_weighted,delta_equal_median_minus_equal_mean
BYSRPHRKESMCPO-HMQYECKYSA-N,Infectious Diseases,1,IC50,1,1,1,-1.73258512140354,-1.73258512140354,-1.7325851214035433,3.3306690738754696e-15,0
BYSRPHRKESMCPO-LQNPQWRQSA-N,Infectious Diseases,1,EC50,1,1,1,-0.536511557697641,-0.536511557697641,-0.536511557697641,0,0
BYSRPHRKESMCPO-XDJXAWJCSA-N,Infectious Diseases,1,IC50,1,1,1,0.838784980111967,0.838784980111967,0.8387849801119673,-3.3306690738754696e-16,0
BYZVMAQRPFEPSV-UHFFFAOYSA-N,Infectious Diseases,2,IC50;Ki,3,3,3,0.6492921389817085,0.6492921389817085,0.7843828557644907,-0.13509071678278228,0
BZEKKSSYFMPCCF-UHFFFAOYSA-N,Inflammation and Proteolysis,1,IC50,2,2,2,0.308845625792287,0.308845625792287,0.30884562579228686,1.6653345369377348e-16,0
CAPJLGPKGOVWIU-YIYLECCTSA-N,Phenotypic: Cancer and Cells,1,IC50,3,3,3,1.42379678899366,1.42379678899366,1.423796788993662,-1.9984014443252818e-15,0
CAPJLGPKGOVWIU-YIYLECCTSA-N,Transporters and Ion Channels,1,IC50,3,2,3,-0.251227990522314,-0.251227990522314,-0.25122799052231365,-3.3306690738754696e-16,0
CBEPNYOFLRIAGR-LLVKDONJSA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,-1.23332862366178,-1.23332862366178,-1.2333286236617818,1.7763568394002505e-15,0
CBGDCCSHOGQUSW-MDWZMJQESA-N,Cell Signaling and Survival,1,IC50,2,1,2,0.976303216499723,0.976303216499723,0.9763032164997233,-3.3306690738754696e-16,0
CBGDCCSHOGQUSW-MDWZMJQESA-N,Phenotypic: Cancer and Cells,1,IC50,2,2,2,0.529050476568869,0.529050476568869,0.5290504765688695,-4.440892098500626e-16,0
CCOJFDRSZSSKOG-UHFFFAOYSA-N,Gene Regulation,1,IC50,1,1,1,-0.87988340289862,-0.87988340289862,-0.8798834028986204,4.440892098500626e-16,0
CCUZOQMNQONIMX-UHFFFAOYSA-N,Cell Signaling and Survival,1,IC50,1,1,1,0.982931985983618,0.982931985983618,0.9829319859836181,-1.1102230246251565e-16,0
CCUZOQMNQONIMX-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,1,IC50,3,3,3,0.556164001187802,0.556164001187802,0.5561640011878021,-1.1102230246251565e-16,0
