family,genus,species_binomial,n_occurrence_rows,n_compounds,n_references,representative_allowed,representative_exclusion_reason,representative_source,tree_species,representative_taxonomy_status
Juglandaceae,Juglans,Juglans regia,17,16,3,TRUE,,observed_binomial_species,Juglans_regia,compatible
Krameriaceae,Krameria,Krameria erecta,27,21,2,TRUE,,observed_binomial_species,Krameria_erecta,compatible
Lamiaceae,Scutellaria,Scutellaria indica,39,35,4,TRUE,,observed_binomial_species,Scutellaria_indica,compatible
Lardizabalaceae,Sinofranchetia,Sinofranchetia chinensis,5,4,2,TRUE,,observed_binomial_species,Sinofranchetia_chinensis,compatible
Lauraceae,Lindera,Lindera umbellata,74,52,16,TRUE,,observed_binomial_species,Lindera_umbellata,compatible
Lecythidaceae,Bertholletia,Bertholletia excelsa,8,8,1,TRUE,,observed_binomial_species,Bertholletia_excelsa,compatible
Lembophyllaceae,Pilotrichella,Pilotrichella flexilis,5,5,1,TRUE,,observed_binomial_species,Pilotrichella_flexilis,compatible
Leucobryaceae,Campylopus,Campylopus clavatus,2,2,1,TRUE,,observed_binomial_species,Campylopus_clavatus,compatible
Loganiaceae,Strychnos,Strychnos trinervis,1,1,1,TRUE,,observed_binomial_species,Strychnos_trinervis,compatible
Loranthaceae,Scurrula,Scurrula atropurpurea,7,7,1,TRUE,,observed_binomial_species,Scurrula_atropurpurea,compatible
