resolved_accepted_id,taxonID,scientificName,taxonomicStatus,acceptedNameUsageID,family,genus,taxonRank,taxonomic_status_norm,exact_name_norm,key,match_exact_original,match_canonical_key,included_as_accepted_target,accepted_name_resolved,accepted_family_resolved,accepted_genus_resolved,accepted_rank_resolved
wfo-0000170608,wfo-0000170608,Pleurolobus gangeticus,Accepted,,Fabaceae,Pleurolobus,species,accepted,pleurolobus gangeticus,pleurolobus gangeticus,FALSE,FALSE,TRUE,Pleurolobus gangeticus,Fabaceae,Pleurolobus,species
wfo-0000278931,wfo-0000278931,Plinia pinnata,Accepted,,Myrtaceae,Plinia,species,accepted,plinia pinnata,plinia pinnata,TRUE,TRUE,TRUE,Plinia pinnata,Myrtaceae,Plinia,species
wfo-0000078455,wfo-0000078455,Pluchea lanceolata,Accepted,,Asteraceae,Pluchea,species,accepted,pluchea lanceolata,pluchea lanceolata,TRUE,TRUE,TRUE,Pluchea lanceolata,Asteraceae,Pluchea,species
wfo-0000078455,wfo-0000131602,Pluchea lanceolata,Synonym,wfo-0000078455,Asteraceae,Pluchea,species,synonym,pluchea lanceolata,pluchea lanceolata,TRUE,TRUE,FALSE,Pluchea lanceolata,Asteraceae,Pluchea,species
,wfo-0000001108,Pluchea lanceolata,Unchecked,,Asteraceae,Pluchea,species,unchecked,pluchea lanceolata,pluchea lanceolata,TRUE,TRUE,FALSE,,,,
wfo-0001095164,wfo-0001095164,Plumbago indica,Accepted,,Plumbaginaceae,Plumbago,species,accepted,plumbago indica,plumbago indica,TRUE,TRUE,TRUE,Plumbago indica,Plumbaginaceae,Plumbago,species
wfo-0000279184,wfo-0000279184,Plumeria rubra,Accepted,,Apocynaceae,Plumeria,species,accepted,plumeria rubra,plumeria rubra,TRUE,TRUE,TRUE,Plumeria rubra,Apocynaceae,Plumeria,species
wfo-1000028275,wfo-0000152838,Pneumatopteris pennigera,Synonym,wfo-1000028275,Thelypteridaceae,Pneumatopteris,species,synonym,pneumatopteris pennigera,pneumatopteris pennigera,TRUE,TRUE,FALSE,Pakau pennigera,Thelypteridaceae,Pakau,species
wfo-0000245931,wfo-0001347328,Poacynum venetum,Synonym,wfo-0000245931,Apocynaceae,Poacynum,species,synonym,poacynum venetum,poacynum venetum,TRUE,TRUE,FALSE,Apocynum venetum,Apocynaceae,Apocynum,species
wfo-0000485218,wfo-0000485218,Podocarpus fasciculus,Accepted,,Podocarpaceae,Podocarpus,species,accepted,podocarpus fasciculus,podocarpus fasciculus,TRUE,TRUE,TRUE,Podocarpus fasciculus,Podocarpaceae,Podocarpus,species
wfo-0000485230,wfo-0000485230,Podocarpus macrophyllus,Accepted,,Podocarpaceae,Podocarpus,species,accepted,podocarpus macrophyllus,podocarpus macrophyllus,TRUE,TRUE,TRUE,Podocarpus macrophyllus,Podocarpaceae,Podocarpus,species
wfo-0000737073,wfo-0000737073,Podocarpus macrophyllus var. maki,Accepted,,Podocarpaceae,Podocarpus,variety,accepted,podocarpus macrophyllus var. maki,podocarpus macrophyllus var. maki,FALSE,FALSE,TRUE,Podocarpus macrophyllus var. maki,Podocarpaceae,Podocarpus,variety
wfo-0000485157,wfo-0000485157,Podocarpus nivalis,Accepted,,Podocarpaceae,Podocarpus,species,accepted,podocarpus nivalis,podocarpus nivalis,TRUE,TRUE,TRUE,Podocarpus nivalis,Podocarpaceae,Podocarpus,species
wfo-0000213929,wfo-0000213929,Podocytisus caramanicus,Accepted,,Fabaceae,Podocytisus,species,accepted,podocytisus caramanicus,podocytisus caramanicus,TRUE,TRUE,TRUE,Podocytisus caramanicus,Fabaceae,Podocytisus,species
