original_name,exact_name,key,legacy_n_accepted_ids,legacy_resolved,hierarchical_resolved,comparison_status,match_rule,resolution_status,accepted_name,accepted_id,accepted_family,accepted_genus,accepted_rank
Eragrostis tef,eragrostis tef,eragrostis tef,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Eragrostis tef,wfo-0000868504,Poaceae,Eragrostis,species
Gnetum gnemon,gnetum gnemon,gnetum gnemon,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Gnetum gnemon,wfo-0000795591,Gnetaceae,Gnetum,species
Baptisia australis,baptisia australis,baptisia australis,2,FALSE,TRUE,recovered_by_hierarchical_rules,exact_accepted,exact_accepted_unique,Baptisia australis,wfo-0000182246,Fabaceae,Baptisia,species
Piper longicaudatum,piper longicaudatum,piper longicaudatum,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Piper longicaudatum,wfo-0001093825,Piperaceae,Piper,species
Crataegus pinnatifi,crataegus pinnatifi,crataegus pinnatifi,0,FALSE,FALSE,unresolved_by_both,unresolved,no_match,NA,NA,NA,NA,NA
Crataegus pinnatifida,crataegus pinnatifida,crataegus pinnatifida,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Crataegus pinnatifida,wfo-0000988959,Rosaceae,Crataegus,species
Dracaena cochinchinensis,dracaena cochinchinensis,dracaena cochinchinensis,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Dracaena cochinchinensis,wfo-0000765715,Asparagaceae,Dracaena,species
Trifolium pratense,trifolium pratense,trifolium pratense,2,FALSE,TRUE,recovered_by_hierarchical_rules,exact_accepted,exact_accepted_unique,Trifolium pratense,wfo-0000213053,Fabaceae,Trifolium,species
Dalbergia assamica,dalbergia assamica,dalbergia assamica,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Dalbergia assamica,wfo-0000197964,Fabaceae,Dalbergia,species
Cordyla africana,cordyla africana,cordyla africana,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Cordyla africana,wfo-0000171442,Fabaceae,Cordyla,species
